id,balance_time,LTV_time,interest_rate_time,rate_time,hpi_time,gdp_time,uer_time,REtype_CO_orig_time,REtype_PU_orig_time,REtype_SF_orig_time,investor_orig_time,balance_orig_time,FICO_orig_time,LTV_orig_time,Interest_Rate_orig_time,hpi_orig_time,status_time
31447,200340.12,83.29193216,6.6,5.15,181.43,1.717052906,6.6,0,0,1,0,210000,614,70,6.6,226.29,1
31443,355422.77,86.77517504,2,5.15,180.07,2.422274869,7.2,0,0,1,0,437000,568,84.9,8.55,226.29,1
31434,121483.65,109.1963229,8.45,4.64,158.6,1.269044263,7.8,0,0,1,0,126320,654,80,8.45,225.1,1
31420,112387.9,99.56063358,10.25,4.64,154.94,2.456633821,8.2,0,0,1,0,114800,525,70,10.25,225.1,1
31415,241478.88,106.4837916,7.775,4.34,158.6,1.269044263,7.8,0,1,0,0,247960,644,80,7.775,216.77,1
31409,74092.04,119.6840666,8.09,4.34,156.04,2.694110549,9.4,0,0,1,1,77400,740,90,8.09,216.77,1
31400,165524.99,139.5684841,4.35,4.34,154.87,1.639154926,9.1,0,0,1,0,166000,635,100,7.9,216.77,1
31364,357709.68,115.2617122,7.05,4.64,158.77,-3.339549297,9.5,0,0,1,0,352000,596,80,7.05,225.1,1
31354,245951.95,85.40472524,9.25,4.64,180.07,2.422274869,7.2,0,0,0,0,252000,543,70,9.25,225.1,1
31349,490354.86,111.6630035,7.52,4.64,158.16,-0.241080652,10,0,0,0,0,495000,631,79.2,7.52,225.1,1
31348,236555.63,108.6783895,7.49,4.64,156.04,2.694110549,9.4,0,0,0,0,251200,611,80,7.49,225.1,1
31335,312939.74,133.2840221,8.125,5.15,158.6,1.269044263,7.8,0,0,0,0,318250,686,95,7.4,226.29,1
31330,592036.73,128.4664511,6,5.15,154.87,1.639154926,9.1,0,0,0,0,538700,642,80,8.695,226.29,1
31324,303403.9,86.96228115,7.2,4.64,161.06,2.682496806,9.9,0,0,0,0,315000,554,64.6,7.2,225.1,1
31322,57496.6,113.6102461,7.999,4.64,156.21,1.585965512,9.8,0,0,0,0,58342,669,80,7.999,225.1,1
31311,149021.24,127.9961705,9.625,5.15,158.77,-3.339549297,9.5,1,0,0,0,152000,563,91.6,8.92,226.29,1
31310,296761.15,113.566779,7.3,5.15,155.61,1.175909032,9,0,0,0,0,304000,670,80,7.3,226.29,1
31301,199792.38,102.3003333,6.99,4.86,158.94,2.366409899,8.2,0,0,1,0,215000,643,78.2,6.99,223.75,1
31292,139007.11,126.1563753,7.99,5.15,154.87,1.639154926,9.1,0,0,1,0,144900,621,90,7.99,226.29,1
31291,208201.36,116.3479458,9,4.86,146.45,2.715902885,8.3,0,0,1,0,218720,627,80,9,223.75,1
31289,210347.99,121.4687495,8.02,4.86,155.61,1.175909032,9,0,0,1,0,224100,704,90,8.02,223.75,1
31274,349340.74,115.5711116,7.94,4.65,150.91,1.875514938,9.2,0,0,0,0,352000,727,80,7.94,219.67,1
31273,95437.98,120.5259431,9.14,4.65,161.06,2.682496806,9.9,0,0,1,0,97200,651,90,9.14,219.67,1
31272,230216.83,127.1020789,8.69,4.65,149.58,1.668182319,8.8,0,0,1,0,239400,639,90,8.69,219.67,1
31271,208875.81,109.523961,7.04,4.65,161.13,1.081049418,8,0,1,0,0,221000,666,85,7.04,219.67,1
31267,306173.88,108.4652105,7.625,4.65,161.06,2.682496806,9.9,0,0,0,0,308000,683,80,7.49,219.67,1
31260,125456.81,121.4412707,10.22,4.65,161.06,2.682496806,9.9,0,1,0,0,126810,574,90,10.22,219.67,1
31257,179633.44,109.7027704,8.5,4.71,161.13,1.081049418,8,0,0,0,0,180800,621,80,8.5,222.39,1
31255,212065.83,130.1414792,8.79,4.71,161.06,2.682496806,9.9,1,0,0,0,213750,661,95,8.79,222.39,1
31253,402654.98,130.762433,8.12,4.71,161.13,1.081049418,8,0,0,0,0,403750,619,95,8.12,222.39,1
31248,142334.37,104.4514162,2,4.71,173.17,0.892996155,7.6,0,0,0,0,140000,561,80,0,222.39,1
31214,579997.45,91.26713079,3,5.03,187.2,2.556051733,6.2,0,0,1,0,580000,695,78.6,6.25,217.37,1
31212,440000,116.256184,5.75,5.03,149.58,1.668182319,8.8,0,0,1,0,440000,776,80,5.75,217.37,1
31206,229412.87,102.7277341,6.5,4.86,158.16,-0.241080652,10,0,0,1,0,230000,686,72.8,6.5,223.75,1
31203,487500,103.3357134,5.875,4.39,161.06,2.682496806,9.9,1,0,0,0,487500,697,75,5.875,221.91,1
31200,558706.14,114.0383025,2.75,4.34,149.58,1.668182319,8.8,0,0,1,0,568000,659,80,5.25,216.77,1
31185,376591.86,105.131511,6.5,5.15,158.94,2.366409899,8.2,0,0,1,0,408000,653,80,6.5,226.29,1
31181,455597.16,112.99078,6.625,5.15,149.58,1.668182319,8.8,0,0,1,0,488000,728,80,6.625,226.29,1
31180,124658.7,109.5640482,6.375,5.15,156.04,2.694110549,9.4,0,0,1,0,132000,721,80,6.375,226.29,1
31170,567924.89,93.80587366,6.375,4.39,158.94,2.366409899,8.2,0,0,1,0,617060,681,73,6.375,221.91,1
31147,148019.48,157.1841372,6.875,4.71,146.45,2.715902885,8.3,0,0,1,1,128700,766,90,6.875,222.39,1
31138,235000,103.4235689,7,4.64,161.06,2.682496806,9.9,0,0,0,0,235000,783,74,7,225.1,1
31137,376408.27,111.9093078,6.625,4.71,158.94,2.366409899,8.2,0,1,0,0,376500,758,80,6.625,222.39,1
31136,516000,115.7665471,6,4.39,153.35,-4.146710947,9,1,0,0,0,516000,680,80,6,221.91,1
31126,742277.91,93.36403862,6.375,4.39,146.45,2.715902885,8.3,0,0,1,0,771000,798,64,6.375,221.91,1
31123,477908.8,111.8302032,6.375,4.39,149.58,1.668182319,8.8,0,0,1,0,507200,730,80,6.375,221.91,1
31122,449636.21,111.6911959,6.375,4.39,146.45,2.715902885,8.3,1,0,0,0,488000,778,80,6.375,221.91,1
31119,502495.67,109.8214082,8.25,4.39,156.21,1.585965512,9.8,1,0,0,0,520000,779,80,8.25,221.91,1
31116,835646.66,72.20293241,6.5,4.86,161.13,1.081049418,8,0,0,1,0,900000,720,56,6.5,223.75,1
31103,438272.27,104.0081968,3,4.34,155.61,1.175909032,9,0,0,1,0,440250,673,75,5.25,216.77,1
31095,419939.1,100.5299778,5,4.34,156.21,1.585965512,9.8,0,1,0,0,422000,736,72.8,5,216.77,1
31077,247126.27,96.30169366,7.5,4.65,161.06,2.682496806,9.9,0,0,1,0,238000,623,68,7.5,219.67,1
31075,424188.22,104.3782255,7,4.65,146.45,2.715902885,8.3,0,0,1,0,420000,714,68.9,7,219.67,1
31070,193528.85,124.654537,7.125,4.65,149.58,1.668182319,8.8,1,0,0,0,182400,644,80,7.125,219.67,1
31069,542349.86,113.8442367,7.5,4.65,161,3.02949864,9.4,0,0,1,0,520000,659,80,7.5,219.67,1
31056,435212.94,73.68047785,6,4.34,173.17,0.892996155,7.6,0,0,1,0,488000,699,66,6,216.77,1
31054,681143.95,90.14260587,6,4.39,158.94,2.366409899,8.2,0,0,1,0,738500,689,70,6,221.91,1
31035,613000,107.1410281,5.5,4.86,156.21,1.585965512,9.8,0,0,1,0,613000,695,74.8,5.5,223.75,1
31030,288218.75,118.4068177,3.25,5.15,150.91,1.875514938,9.2,0,0,1,0,292000,719,80,1.25,226.29,1
31019,898499.11,93.32692911,5.625,3.94,156.21,1.585965512,9.8,0,0,1,0,901063,679,70,5.625,208.86,1
31003,752266.21,106.6616592,2.875,4.86,158.6,1.269044263,7.8,0,0,1,0,796000,769,80,4.75,223.75,1
30992,423850,94.29639904,6.875,5.15,149.58,1.668182319,8.8,0,0,0,0,425000,702,62.5,6.875,226.29,1
30979,432797.67,125.4245819,5.75,5.15,161,3.02949864,9.4,0,0,1,0,388000,742,80,1,226.29,1
30976,469434.53,110.5901825,6.75,5.15,158.77,-3.339549297,9.5,0,0,1,0,484000,714,80,6.75,226.29,1
30972,298108.3,127.3842393,3.625,4.86,149.58,1.668182319,8.8,0,0,1,0,272000,734,77.7,1.5,223.75,1
30959,469945.79,127.2478671,4.082,5.15,156.21,1.585965512,9.8,0,0,1,0,428000,699,80,1.95,226.29,1
30958,168817.54,91.47834103,3.515,5.15,189.82,2.836358176,5.7,0,0,1,0,176000,653,80,1.75,226.29,1
30949,438461.88,104.2495811,3.636,5.15,156.04,2.694110549,9.4,0,0,1,0,405000,722,66.4,1.25,226.29,1
30942,226829.1,115.2403488,4.282,5.15,156.21,1.585965512,9.8,1,0,0,0,211000,646,74,2.55,226.29,1
30941,137669.34,97.22764212,3.832,5.15,156.21,1.585965512,9.8,0,0,1,0,130250,593,63.5,1.5,226.29,1
30939,213856.97,111.3046028,3.971,5.15,161,3.02949864,9.4,0,0,1,0,202000,688,74.8,3.4,226.29,1
30927,448111.82,117.151877,2.845,4.86,155.61,1.175909032,9,0,0,1,0,440000,640,80,1.7,223.75,1
30926,529673.09,102.1112092,3.375,4.86,187.2,2.556051733,6.2,0,0,1,0,496000,612,80,1.95,223.75,1
30925,435565.94,117.0065559,3.303,5.15,158.94,2.366409899,8.2,0,0,1,0,424000,692,80,1.5,226.29,1
30922,470410.3,96.64749935,6.5,4.86,155.61,1.175909032,9,0,0,1,0,503200,753,71.9,6.5,223.75,1
30898,456741.26,100.6427239,4,4.34,158.16,-0.241080652,10,0,0,1,0,466500,704,75,5.125,216.77,1
30880,229158.17,102.8767952,4.375,4.86,158.16,-0.241080652,10,0,0,1,0,225000,704,71.4,1.5,223.75,1
30877,595566.6,120.7836027,3.875,4.86,161.06,2.682496806,9.9,0,0,1,0,548009,723,80,1,223.75,1
30869,588657,114.9800853,6.75,4.39,151.48,-3.516567987,7.8,0,0,1,0,600000,774,80,6.75,221.91,1
30850,949366.59,102.9165433,5.875,4.86,158.77,-3.339549297,9.5,0,1,0,0,975000,703,75,5.25,223.75,1
30842,486189.13,102.5566964,6,4.34,158.16,-0.241080652,10,0,0,1,0,512000,723,78.8,6,216.77,1
30840,599842.96,112.2164485,6.125,4.39,158.16,-0.241080652,10,0,0,1,0,600000,725,80,6.125,221.91,1
30833,412000,88.73093257,6.25,4.39,161.06,2.682496806,9.9,0,1,0,0,412000,741,64.4,6.25,221.91,1
30822,464198.65,112.1187563,5.25,4.34,149.58,1.668182319,8.8,0,0,1,0,480000,700,80,5.25,216.77,1
30819,412953.66,102.1450919,5,4.34,158.94,2.366409899,8.2,0,1,0,0,440000,729,79.8,5.625,216.77,1
30813,459480.91,107.0347135,5.875,4.39,158.77,-3.339549297,9.5,0,0,1,0,480000,707,80,5.875,221.91,1
30812,460392,111.975205,5.875,4.34,154.87,1.639154926,9.1,0,1,0,0,460392,759,80,5.875,216.77,1
30808,396526.38,98.32758319,2.5,4.34,158.94,2.366409899,8.2,0,1,0,0,440000,750,80,2.5,216.77,1
30800,462397.02,145.8463664,2.75,4.71,154.94,2.456633821,8.2,0,0,1,0,400000,705,87.9,6.875,222.39,1
30782,510400,118.6137433,5.5,4.86,150.91,1.875514938,9.2,0,0,1,0,510400,710,80,5.5,223.75,1
30776,649983.21,85.85274574,6.5,4.5,180.52,0.836858663,5,0,0,1,0,650000,672,77.8,6.5,199.21,1
30770,555430.76,86.72707168,5.875,4.24,153.35,-4.146710947,9,0,1,0,0,558000,742,69.8,5.875,191.42,1
30769,415200,96.34830754,5.75,4.24,158.94,2.366409899,8.2,1,0,0,0,415200,796,80,5.75,191.42,1
30755,460000,103.7427046,6.125,3.94,161.06,2.682496806,9.9,0,0,1,0,460000,695,80,6.125,208.86,1
30752,955037.25,93.98352601,3.125,4.14,158.94,2.366409899,8.2,0,0,1,0,956000,737,80,0,186.91,1
30718,729403.27,82.79405124,6.125,4.14,180.52,0.836858663,5,0,1,0,0,729736,730,80,4.125,186.91,1
30714,648408.84,92.25241083,5.75,3.94,158.77,-3.339549297,9.5,0,0,1,0,650000,730,70.3,5.75,208.86,1
30685,422619.6,93.21441361,3.125,4.86,161.06,2.682496806,9.9,0,0,1,0,422634,752,67.1,4.875,223.75,1
30684,456542.66,108.4002617,3,4.86,149.58,1.668182319,8.8,0,0,1,0,472500,713,75,4.875,223.75,1
30662,377712.99,67.94704141,2.875,4.14,173.17,0.892996155,7.6,0,0,1,0,450000,633,75,4.875,186.91,1
30657,689085.08,99.09864582,3.25,4.86,156.21,1.585965512,9.8,0,0,1,0,697200,685,70,4.875,223.75,1
30642,506197.18,100.4468648,4.875,4.86,158.77,-3.339549297,9.5,0,0,1,0,508500,708,71.6,4.875,223.75,1
30637,517876.24,89.56941939,3.125,4.62,154.87,1.639154926,9.1,0,0,1,0,535960,758,80,4.75,179.45,1
30635,442256.86,116.6952294,6.83,4.64,161.06,2.682496806,9.9,0,0,1,0,458698.34,650,86.6,6.83,225.1,1
30626,465000,74.76863354,5.25,4.86,161,3.02949864,9.4,0,0,0,1,465000,763,53.8,5.25,223.75,1
30593,278139.77,127.2637889,7.625,4.65,154.87,1.639154926,9.1,0,0,1,0,248000,656,80,7.625,219.67,1
30585,376024.83,107.7210879,5.125,4.86,156.21,1.585965512,9.8,0,0,1,0,400000,637,80,6,223.75,1
30569,626460.34,98.11269159,6.75,5.03,150.91,1.875514938,9.2,0,0,1,0,630000,668,68.5,6.75,217.37,1
30562,428033.72,97.39864724,5.98,4.65,149.58,1.668182319,8.8,0,0,1,0,455000,783,70.5,5.98,219.67,1
30549,1379570.95,66.48222514,5.625,3.94,154.87,1.639154926,9.1,0,0,1,0,1500000,700,53.6,5.625,208.86,1
30536,184251.46,127.1574074,3.125,3.94,156.04,2.694110549,9.4,1,0,0,0,184252,738,95,5.75,208.86,1
30524,449595.35,107.0342344,5.625,4.65,149.58,1.668182319,8.8,0,0,1,0,449701,683,72.9,5.625,219.67,1
30514,487768.76,107.2923645,5.875,4.65,156.04,2.694110549,9.4,0,0,1,0,512000,782,80,5.875,219.67,1
30513,493955.34,85.35454475,6.375,4.65,156.04,2.694110549,9.4,0,0,1,0,510000,653,62.6,6.375,219.67,1
30495,750000,72.879548,6,5.03,161.06,2.682496806,9.9,0,0,1,0,750000,723,54,6,217.37,1
30483,60995.24,93.58396551,3,4.64,173.17,0.892996155,7.6,0,0,1,0,61000,683,72,7,225.1,1
30477,391386.47,123.8895595,4,4.86,156.04,2.694110549,9.4,0,0,1,0,362400,703,80,1,223.75,1
30473,424529.21,105.9384101,3,4.64,154.94,2.456633821,8.2,0,0,1,0,425000,765,73,6.75,225.1,1
30467,555311.66,115.2634306,7.25,4.64,156.04,2.694110549,9.4,1,0,0,0,556000,713,80,7.25,225.1,1
30455,499998.96,119.5137907,3,5.15,149.58,1.668182319,8.8,0,0,1,0,500000,751,79,6.25,226.29,1
30434,444792,91.48236386,5.75,4.34,156.21,1.585965512,9.8,0,0,1,0,448000,739,66.4,5.75,216.77,1
30428,254420.88,83.70417816,5.75,3.94,161.06,2.682496806,9.9,0,0,1,0,270000,674,68.5,5.75,208.86,1
30409,110399.59,98.94909235,3.25,4.5,161.06,2.682496806,9.9,0,0,1,0,110400,775,80,5.75,199.21,1
30402,584938.86,97.22971248,5.25,4.5,158.77,-3.339549297,9.5,0,0,1,0,585000,674,77.5,5.25,199.21,1
30397,246804.46,100.2565916,4.75,4.5,158.77,-3.339549297,9.5,0,0,1,0,247100,735,80,4.75,199.21,1
30389,319200.86,98.77000122,3.25,4.5,161,3.02949864,9.4,0,0,1,0,319900,712,80,5.125,199.21,1
30388,414666.51,78.88244804,4.25,4.24,161,3.02949864,9.4,0,0,1,0,430000,698,68.8,5.125,191.42,1
30377,428940,78.95995568,3.75,4.14,156.21,1.585965512,9.8,0,0,1,0,429000,688,66,5.5,186.91,1
30367,336350.24,105.2136126,7,4.34,154.87,1.639154926,9.1,0,1,0,0,357071,681,79.8,7,216.77,1
30366,339723.61,112.9931712,6.625,4.34,153.35,-4.146710947,9,0,0,1,0,340000,678,80,6.625,216.77,1
30362,463089.8,107.3015518,6,4.34,153.35,-4.146710947,9,0,0,1,0,485000,670,79.5,6,216.77,1
30359,720000,94.7151225,5.875,3.94,158.77,-3.339549297,9.5,0,0,1,0,720000,720,72,5.875,208.86,1
30356,363375.89,110.172505,6.25,4.39,150.91,1.875514938,9.2,0,0,0,0,363750,661,75,6.25,221.91,1
30346,87327.96,103.7421995,6.75,3.94,146.45,2.715902885,8.3,0,0,1,0,95200,641,79.3,6.75,208.86,1
30342,176017.58,76.40738691,6.5,4.5,161.13,1.081049418,8,0,0,1,0,180000,758,63.2,6.5,199.21,1
30331,328222.86,54.99878025,3.75,3.63,156.21,1.585965512,9.8,0,0,1,0,367000,674,69.3,5.75,138.62,1
30329,297465.03,121.1419304,3.071,5.15,161.06,2.682496806,9.9,0,0,1,0,276000,795,80,1,226.29,1
30320,378130.01,138.2993926,7.5,4.71,146.45,2.715902885,8.3,0,0,1,1,328000,728,79,7.5,222.39,1
30101,173629.27,119.549981,11.359,5.15,158.77,-3.339549297,9.5,0,0,1,0,175950,564,85,9.6,226.29,1
30095,70428.94,136.3563664,5.75,5.15,158.16,-0.241080652,10,0,0,1,0,70205,550,95,5.75,226.29,1
30085,108917.05,129.7753709,9.45,4.64,146.45,2.715902885,8.3,0,0,1,0,103200,612,80,9.45,225.1,1
5977,591795.02,102.7690398,8.375,4.34,153.35,-4.146710947,9,0,1,0,0,610500,622,75,6.99,216.77,1
30067,295805.69,53.36486702,6.55,4.27,212.73,2.274217801,4.7,0,0,0,0,345000,657,82.1,6.55,161.27,1
30046,83461.13,94.08971486,8.525,4.64,188.37,2.868593825,6.2,1,0,0,0,84800,683,80,8.525,225.1,1
30035,203936.25,61.85170838,7.15,4.27,156.04,2.694110549,9.4,0,0,0,0,221500,696,65,7.15,161.27,1
30027,337447.88,70.91939764,7.85,4.27,158.16,-0.241080652,10,0,0,1,0,360000,580,74.2,7.85,161.27,1
29998,151927.09,71.47474992,12.375,3.96,200.67,1.850689166,4.7,0,0,1,0,156750,587,95,0,155.77,1
29990,204250,134.2885556,7.14,4.34,153.35,-4.146710947,9,0,0,1,0,204250,647,95,7.14,216.77,1
29987,151313.49,111.9843811,6.125,4.34,146.45,2.715902885,8.3,0,0,1,0,160000,725,80,5.8,216.77,1
29981,86596.63,104.1013281,7.75,4.34,161,3.02949864,9.4,0,0,1,0,89600,633,80,7.75,216.77,1
29978,62783.06,109.6832454,7.99,4.64,161.06,2.682496806,9.9,0,0,0,1,64000,664,80,7.99,225.1,1
29959,106300.96,112.6978033,9.175,4.64,146.45,2.715902885,8.3,0,0,1,0,108300,608,74.7,9.175,225.1,1
29953,108621.33,123.9844679,8.85,5.15,158.6,1.269044263,7.8,0,0,0,0,112500,639,90,8.85,226.29,1
29944,320720.82,83.15920103,6.775,5.15,161,3.02949864,9.4,0,0,1,0,335000,625,61.8,6.775,226.29,1
29938,396771.61,141.9195079,9.375,5.15,156.21,1.585965512,9.8,0,0,1,0,405000,661,100,9.2,226.29,1
29934,199694.48,131.8728289,7.18,4.64,154.94,2.456633821,8.2,0,1,0,0,187000,550,85,7.18,225.1,1
29925,214808.02,113.2310583,9.075,4.64,158.16,-0.241080652,10,0,0,1,0,216000,636,80,9.075,225.1,1
29922,205289.25,108.0064688,6.5,4.71,161,3.02949864,9.4,1,0,0,0,210037,691,80,6.5,222.39,1
29902,103483.19,87.91712652,9.15,4.71,149.58,1.668182319,8.8,0,1,0,0,105000,502,60,9.15,222.39,1
29900,328855.94,118.2369329,6.35,4.71,158.6,1.269044263,7.8,0,0,1,0,331500,602,85,6.35,222.39,1
29897,456475.49,90.83997942,5.085,4.71,156.21,1.585965512,9.8,0,0,1,0,460000,571,64.3,7.525,222.39,1
29882,239091.94,122.5769085,4.06,4.71,149.58,1.668182319,8.8,0,1,0,0,232000,603,80,8.175,222.39,1
29881,129891.63,101.1718955,6.95,4.71,156.04,2.694110549,9.4,0,0,1,0,129000,529,70.5,6.95,222.39,1
29872,153772.5,123.8297001,6.25,4.71,150.91,1.875514938,9.2,0,0,1,0,155550,613,85,6.25,222.39,1
29815,104416.47,105.5048028,7.85,3.94,150.91,1.875514938,9.2,0,0,1,0,110400,549,80.6,7.85,208.86,1
29808,59450.9,47.00688656,7.95,3.54,212.73,2.274217801,4.7,0,0,1,0,62300,602,70,7.95,149.7,1
29798,64541.52,70.5638405,6.999,3.96,200.67,1.850689166,4.7,0,0,1,0,67450,680,95,6.999,155.77,1
29775,84780.15,87.97712226,7.99,3.54,162.09,-2.805844087,6.5,0,0,1,0,89000,649,100,7.99,149.7,1
29735,73560.15,91.53864413,7.48,4.71,158.16,-0.241080652,10,0,0,1,0,80000,646,70.8,7.48,222.39,1
29728,142892.02,108.4935348,2,4.71,146.45,2.715902885,8.3,0,0,1,0,140000,525,70,10.17,222.39,1
29726,136326.76,109.1163612,8.75,4.71,158.77,-3.339549297,9.5,0,0,1,0,140000,596,80,7.6,222.39,1
29721,94917.29,67.27534659,8.63,3.54,180.52,0.836858663,5,0,0,1,0,99450,665,85,0,149.7,1
29710,215585.09,95.3015307,6,4.34,153.35,-4.146710947,9,0,0,1,0,220000,559,68.8,7.15,216.77,1
29709,255121.16,106.9140086,9.625,3.94,153.35,-4.146710947,9,0,0,1,0,260000,583,80,6.1,208.86,1
29700,39921.16,124.0564619,11.8,4.64,150.91,1.875514938,9.2,0,0,1,1,40800,582,85,11.8,225.1,1
29698,295151.77,119.2615248,6.925,4.64,155.61,1.175909032,9,0,0,1,0,300720,615,84,6.925,225.1,1
29697,118479.48,109.0523389,8.1,4.64,161,3.02949864,9.4,0,0,1,0,121520,606,80,8.1,225.1,1
29696,97675.93,113.7539673,7,4.64,146.45,2.715902885,8.3,0,0,1,0,104000,559,78.8,7,225.1,1
29669,163671.58,101.8914088,6.75,4.71,158.77,-3.339549297,9.5,0,0,1,0,168750,622,75,6.75,222.39,1
29648,54109.45,117.3818523,10.45,4.71,146.45,2.715902885,8.3,0,0,1,0,56000,576,80,10.45,222.39,1
29635,113589.3,123.2069669,8.9,4.71,146.45,2.715902885,8.3,0,0,1,0,119000,557,85,8.9,222.39,1
29634,62751,104.3473457,5.05,4.71,161.13,1.081049418,8,0,0,1,0,66400,605,80,5.05,222.39,1
29633,64383.81,110.4031384,8.25,4.71,158.16,-0.241080652,10,0,0,1,0,65600,620,80,7.9,222.39,1
29632,116870.8,109.1343756,8.4,4.71,158.77,-3.339549297,9.5,0,0,1,0,120000,638,80,8.4,222.39,1
29631,61106.16,116.1352589,9.25,4.71,146.45,2.715902885,8.3,0,0,1,0,63920,620,80,9.25,222.39,1
29628,72427.49,109.0855678,7.8,4.71,158.77,-3.339549297,9.5,0,0,1,0,74400,602,80,7.8,222.39,1
29625,86381.85,113.6542769,8.125,4.71,149.58,1.668182319,8.8,0,0,1,0,90400,589,80,8.125,222.39,1
29620,174100.24,136.6890172,4.75,4.71,154.87,1.639154926,9.1,0,0,1,1,164610,535,90,4.75,222.39,1
29616,230398.34,115.6842438,10.95,4.71,161.06,2.682496806,9.9,0,1,0,0,233750,518,85,10.95,222.39,1
29608,134248.69,103.6042119,4.74,4.64,149.58,1.668182319,8.8,0,1,0,0,136500,702,70,4.74,225.1,1
29604,122157.79,95.38677122,4.73,5.15,161,3.02949864,9.4,0,0,1,0,126000,595,70,4.73,226.29,1
29583,199789.12,99.41811836,7.48,5.15,154.94,2.456633821,8.2,0,0,1,0,205450,614,70,7.48,226.29,1
29582,128313.71,92.46404473,7.25,4.24,161,3.02949864,9.4,0,0,1,0,136118,738,82.5,7.25,191.42,1
